,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
23,"In Your Eyes (feat. Alida)","Robin Schulz",257067,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
24,"200 km/h","Apache 207",255778,https://open.spotify.com/track/2PGA1AsJal6cyMNmKyE56q
25,Verkackt,Gzuz,254959,https://open.spotify.com/track/0C6bsQq58Ue1XfL5PKTO6D
26,"No Time To Die","Billie Eilish",254002,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
27,"Nur wegen dir",Nimo,253128,https://open.spotify.com/track/0ui2kVwPZKHaZxGhdIzBrp
28,Revenge,Elias,250329,https://open.spotify.com/track/0VLwCyZ3QIvPXhPXhaiZfk
29,Donuts,Gzuz,245596,https://open.spotify.com/track/5XVPNr0CAoUn1jD033Ucoo
30,GRIND,Fler,243949,https://open.spotify.com/track/0oFrTaO9UIgqu6MuzkFu7B
31,"Intentions (feat. Quavo)","Justin Bieber",242737,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
32,"Don't Start Now","Dua Lipa",241766,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
33,Alien,RIN,239259,https://open.spotify.com/track/2RaKlveGCllSaXloN8kmzV
34,"Mon Ami",Samra,231165,https://open.spotify.com/track/1R4xkZXQUQ8QJtAdwHkSgC
35,KRIMINELL,Kianush,229911,https://open.spotify.com/track/3ecKtWMr8HK99YOs7L6Ps3
36,"Close Your Eyes","Felix Jaehn",219764,https://open.spotify.com/track/7N06jo3EnV792VFaG8vuW6
37,"KARMA - REMIX",Nimo,219125,https://open.spotify.com/track/61aoSsRb1W9R1ed5GZjz4K
38,"Ride It",Regard,214931,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
39,110,"Capital Bra",209704,https://open.spotify.com/track/67ojvEGRPAUCOohuMPqoRC
40,"Skifahren (feat. Joshi Mizu)","The Cratez",209069,https://open.spotify.com/track/7qwWwsa6otLM0UOEamls4s
41,"What If I Told You That I Love You","Ali Gatie",208688,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
42,"Plan B (feat. PA Sports)",Sinan-G,202335,https://open.spotify.com/track/1Eu69s98UkqQ4lIhG4Qmw0
43,"Wieso tust Du dir das an?","Apache 207",199286,https://open.spotify.com/track/6dNB3XdAzx7kTf5wa8Rg89
44,"Godzilla (feat. Juice WRLD)",Eminem,196829,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
45,"Ey Hawar",Eno,191976,https://open.spotify.com/track/26rsUvXxz1wtraMXXcAxpE
46,"AMEX BLACK","Joker Bra",182733,https://open.spotify.com/track/0dv22i02nk3o8JwmK6BwjI
47,6AM.........,Dardan,182546,https://open.spotify.com/track/36J10AwMabBYxgNrV2S8gd
48,"Life Is Good (feat. Drake)",Future,181792,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
49,"Lose Control",MEDUZA,181665,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
50,2002,Sido,180364,https://open.spotify.com/track/2u8AXJyk8pICzj2wyPBL0b
51,ROXANNE,"Arizona Zervas",180224,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
52,"everything i wanted","Billie Eilish",179375,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
53,"Vermissen (feat. Henning May)",Juju,172574,https://open.spotify.com/track/07f2b3CTdgKKlhv0mqUksz
54,"Alles was ich hab","Fynn Kliemann",171691,https://open.spotify.com/track/1GHgDIODujliWFayEhHx1n
55,"Ich hol dich ab",Jamule,169215,https://open.spotify.com/track/2rWnTpXD0jq5lymyg4xIKQ
56,"Keine Liebe",RIN,168628,https://open.spotify.com/track/4OVF6uwZlMOSlZmHDnwliX
57,"Ayy Macarena",Tyga,160098,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
58,"Doch in der Nacht","Apache 207",156797,https://open.spotify.com/track/3uhTOxvu2h2YEm0uPNF2vi
59,"Turn Me On (feat. Vula)",Riton,155627,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9
60,"KEIN SCHLAF",Nimo,155583,https://open.spotify.com/track/1B89LtaW92jj4AqT7OZ0Fj
61,"Bin da",Veysel,154929,https://open.spotify.com/track/2fzPZOozISzcAU7FSwkN7g
62,"RITMO (Bad Boys For Life)","Black Eyed Peas",154514,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
63,Tilidin,"Capital Bra",153486,https://open.spotify.com/track/0Dlcu2fgHklOnajVu2dUNU
64,COLT,Samra,153262,https://open.spotify.com/track/76IVpz47q3ghkxoUeTTEKb
65,JUPITER,Fard,151817,https://open.spotify.com/track/2PnaQ6ScZDCRxLNakOAzIG
66,"bad guy","Billie Eilish",151374,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
67,Hauseingang,Pashanim,151202,https://open.spotify.com/track/1IikW5aCjY08gagX94j3fJ
68,Light,Jerome,149291,https://open.spotify.com/track/1lht8jb3c6rEiVaqX94enH
69,"Still Be Friends (feat. Tory Lanez & Tyga)",G-Eazy,148704,https://open.spotify.com/track/0JjM9bKm4wrwohMslcm892
70,"After Hours","The Weeknd",147108,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
71,"Moral of the Story",Ashe,145447,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
72,"Before You Go","Lewis Capaldi",141878,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
73,"Stupid Love","Lady Gaga",140816,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
74,"Kein Problem","Apache 207",140084,https://open.spotify.com/track/3Zigq1lfHmFRlyoRrh9k2s
75,"Someone You Loved","Lewis Capaldi",136480,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
76,"You should be sad",Halsey,135665,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
77,Physical,"Dua Lipa",133498,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
78,Ausgehen,AnnenMayKantereit,131728,https://open.spotify.com/track/3Ve0ag71EeiQalsl7Ha4Dw
79,Kommunikation,Eno,131564,https://open.spotify.com/track/2LyG4XgcCVljU2BZpRpxYX
80,"CASINO ROYAL",Kianush,129642,https://open.spotify.com/track/3Dkfcd3DbXGVmM05KCRuFA
81,"Alone, Pt. II","Alan Walker",125473,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
82,"Play With Fire","Nico Santos",125402,https://open.spotify.com/track/240BX4w7PFkHptDrSVZgbA
83,"Shababs botten",Pashanim,121889,https://open.spotify.com/track/0H9WHopZ62JeDaGau7REMw
84,CASINO,"Katja Krasavice",121490,https://open.spotify.com/track/5rywC2PH49hTpJLXxwGlpE
85,Circles,"Post Malone",121394,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
86,Tusa,"KAROL G",119287,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
87,KARMA,Nimo,119268,https://open.spotify.com/track/3uTiW4Tjt6FqSPRYNgzW5t
88,"Wieder Lila",Samra,118473,https://open.spotify.com/track/2kkcJ8tSDV42LdWcPjy6We
89,"Say So","Doja Cat",118137,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
90,Yummy,"Justin Bieber",116294,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
91,"Vor der Tür",Gzuz,115870,https://open.spotify.com/track/0LPRq5I35z8FoqYo84xn48
92,Egal,"Michael Wendler",115460,https://open.spotify.com/track/7rjW2CVIOmmQ7U5CGiZcnG
93,"Sex mit dir","Apache 207",115058,https://open.spotify.com/track/0PEwVF6TStGXMTnQMAk9kl
94,"hot girl bummer",blackbear,113761,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
95,Memories,"Maroon 5",111298,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
96,"Never Seen the Rain","Tones and I",109561,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
97,"Feel Me","Selena Gomez",108392,https://open.spotify.com/track/4MdcsdRj7i8eBm0qFjO4L4
98,"death bed (feat. beabadoobee)",Powfu,108250,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
99,"WAS'N TYP","Moe Phoenix",108011,https://open.spotify.com/track/3psaDy7UhAPVFjq5q5Kyep
100,"Honda Civic","The Cratez",107725,https://open.spotify.com/track/7nkN1tnFIZIIS4P5q4Krmb
101,"Para, Money, E's",JIGGO,107706,https://open.spotify.com/track/1CbFX5cBnMVVwBBI4ssF2G
102,JAMILA,"Moe Phoenix",105696,https://open.spotify.com/track/56tl40v91IPe0cOSAsSJyK
103,"Sunday Best",Surfaces,105521,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
104,Señorita,"Shawn Mendes",105472,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
105,"My Oh My (feat. DaBaby)","Camila Cabello",104350,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
106,"500 PS","Bonez MC",104255,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG
107,"The Other Side (from Trolls World Tour)",SZA,103950,https://open.spotify.com/track/463PQggkmk5tTw8ug0ahOX
108,"Kuchen und Bier","Böhse Onkelz",103460,https://open.spotify.com/track/5sm41EJGqYX4DGb16JCEqc
109,Mary,Bausa,102540,https://open.spotify.com/track/2Jij6ebp6ToNKOn5DWlGxV
110,Benzo,Elias,100604,https://open.spotify.com/track/2eAtC4umRoDcvRcsyFzGL9
111,"Drown (feat. Clinton Kane)","Martin Garrix",99674,https://open.spotify.com/track/4RVtBlHFKj51Ipvpfv5ER4
112,Maschine,"RAF Camora",99123,https://open.spotify.com/track/0C6NMPWYqsLIuuYSNP8KqE
113,"Sag Wieso","Lil Lano",98843,https://open.spotify.com/track/5TELAde0F3gYZF4l2m6RXp
114,Monster,LUM!X,98014,https://open.spotify.com/track/0YU17F0BlVXvmx5ytsR43w
115,"Es tut schon wieder weh","Pietro Lombardi",96711,https://open.spotify.com/track/3C0clLWH3HLuZy0bX5ie3U
116,"Blueberry Faygo","Lil Mosey",96625,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
117,"Der Bratan bleibt der gleiche","Capital Bra",96455,https://open.spotify.com/track/2M39v73rNJmAXUXIW0oagP
118,"Forever (feat. Post Malone & Clever)","Justin Bieber",95842,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
119,"What A Man Gotta Do","Jonas Brothers",95711,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
120,Eiskalt,Loredana,94850,https://open.spotify.com/track/5sMugAU31Ug5SAUUbhBIKU
121,136er,"AK Ausserkontrolle",94144,https://open.spotify.com/track/6Q2CA0eSQcQsue63QwnLnB
122,"Big Drip",Ufo361,93190,https://open.spotify.com/track/4qOesAYiMiMFiZrn2wfkl6
123,PHANTOM,reezy,93150,https://open.spotify.com/track/1s0nANz8q6gEZOms034GbU
124,"HIGHEST IN THE ROOM","Travis Scott",92807,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
125,Sandmann,"le Shuuk",92395,https://open.spotify.com/track/7AO4SbDUqGQ3vY6SQYEFRZ
126,Alge,Knossi,90820,https://open.spotify.com/track/69nrq6NeLYbKJIv21ORgQ4
127,"To Die For","Sam Smith",90272,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
128,Fabergé,RIN,89955,https://open.spotify.com/track/7BYf1rypxrlcLK2DMLSjiw
129,Better,Lena,88841,https://open.spotify.com/track/3jCMdvc8bFOKChETbFV9Zc
130,Schiebedach,Jamule,88168,https://open.spotify.com/track/6mPETBNZFx2xjCR2YFPfcj
131,gENAuSo,Dardan,85785,https://open.spotify.com/track/5nmVf5dSgH4A25qsev28Mi
132,"God Is A Dancer (with Mabel)",Tiësto,85277,https://open.spotify.com/track/6fenHIxXuuzKB55wY4WCHP
133,"I Don't Care (with Justin Bieber)","Ed Sheeran",83326,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
134,"Summer Cem (feat. Luciano)","Summer Cem",83037,https://open.spotify.com/track/1hrHUEYoVBC1hNCXkX7tIA
135,Lucy,"EREN CAN",82998,https://open.spotify.com/track/6XFo1A9JtauyPMY9QivWFr
136,Stars,VIZE,82460,https://open.spotify.com/track/0TId5TSbdcBP32haUV4Aet
137,Bounce,badmómzjay,81929,https://open.spotify.com/track/2LMfYztjhJeKfbQv2NkEe0
138,"Piece Of Your Heart",MEDUZA,81773,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
139,"Adore You","Harry Styles",81378,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
140,Huracan,Samra,81169,https://open.spotify.com/track/6AFIVhbJLR7YVvW9fLFMu1
141,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,80130,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
142,"Hi Babe",Juju,79441,https://open.spotify.com/track/6erIvryBSsAdebNU4a7Mrs
143,"PUBLIC ENEMIES (feat. Kollegah & Fler)","Farid Bang",78748,https://open.spotify.com/track/6a1eOZTiZdgFRUOnMBjT4j
144,FiNCHiBOY,"FiNCH ASOZiAL",78554,https://open.spotify.com/track/4ipRnhSMOaVeLCCo5sPY9K
145,Castles,"Freya Ridings",78291,https://open.spotify.com/track/5tZWtGT65sMrDVPB5H444n
146,"Brot nach Hause","Apache 207",78248,https://open.spotify.com/track/5e0bzcsI1khimLSJhddHdS
147,"Puta Madre - Bonustrack","RAF Camora",78238,https://open.spotify.com/track/0bg9us6qbMWTAMSF3y4egO
148,"lovely (with Khalid)","Billie Eilish",78215,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
149,Piranhas,Gringo,77997,https://open.spotify.com/track/3SwOFPhT5uW9viyDcykR9f
150,"2 Minuten","Apache 207",77859,https://open.spotify.com/track/1u5jYTx2WdptYWYpwqcE9n
151,"Beautiful People (feat. Khalid)","Ed Sheeran",77437,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
152,"Nur zur Info",Ufo361,77266,https://open.spotify.com/track/6Y7ZEVr7lgO8FKGk2vZ2hi
153,Adriana,"RAF Camora",77259,https://open.spotify.com/track/5YbcMbH4xHRfep9rSxLRDt
154,"Letzte Träne","Kontra K",76188,https://open.spotify.com/track/1FuJKBi6XdFyf8Yzmck468
155,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",75898,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
156,"Himmel grau","Kontra K",75253,https://open.spotify.com/track/1xdj09kwlmFmVONYaYyNsY
157,Barbie,"Lil Lano",75197,https://open.spotify.com/track/6uqjU0ZWqHOe15zGDQugBt
158,Hoch,"Tim Bendzko",74621,https://open.spotify.com/track/7gqefhSJfWyN1qQ2huvEze
159,"Nie besser als jetzt (feat. MoTrip)","Max Giesinger",74314,https://open.spotify.com/track/57QzPavDVo6i3qw14nxsFS
160,"The Passenger (LaLaLa)",LUM!X,74191,https://open.spotify.com/track/2A0CxheiQGQdCiKtOR7jMP
161,"Dior 2001",RIN,74041,https://open.spotify.com/track/6WusSsncC0Oo9sFHKwQii6
162,"1000 Hits",Jamule,73799,https://open.spotify.com/track/2L0hkkXKyXOlxQNJkn8k4Y
163,MONEYHONEYDRIP,Jamule,73735,https://open.spotify.com/track/46jIaAgwx0kHNlFFTXcIk1
164,Kriminell,Gzuz,73585,https://open.spotify.com/track/7uMraLGCCnJ7Jb54KGgrA1
165,Salt,"Ava Max",73542,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
166,Unnormal,"RAF Camora",73463,https://open.spotify.com/track/7CzSP7spDpZBP8edbtPIwI
167,"vertrau mir! (feat. Vithya)",Majoe,73209,https://open.spotify.com/track/0T8jOLEZOiHALUvUeP9o1h
168,"Des Bruders Hüter","Böhse Onkelz",72610,https://open.spotify.com/track/3Rf798BZY7gmmzr1NrFP6b
169,"KOKAIN & DOLLARS",Ramo,72098,https://open.spotify.com/track/43Qea4FEL0VZEx4M6rv7h6
170,"UP IN SMOKE",RIN,71829,https://open.spotify.com/track/0nnmA43aDEfmau2Vyo7b4g
171,"Lucid Dreams","Juice WRLD",71615,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
172,"Ohne mein Team","Bonez MC",71402,https://open.spotify.com/track/05Mp2UJulSttxQ4E6hQPH3
173,"Ein Hoch auf die Toten","Böhse Onkelz",71248,https://open.spotify.com/track/4oQcFJA9KZywKOmKgCM62o
174,Slavik,Slavik,70786,https://open.spotify.com/track/50TBjaw6xmj6v7Dc9mIC6H
175,"Sweet but Psycho","Ava Max",70585,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
176,ON,BTS,69964,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
177,Seele,Azet,69765,https://open.spotify.com/track/0b9tA3TNHCzfbTh9mGloNx
178,"Some Say - Felix Jaehn Remix",Nea,69588,https://open.spotify.com/track/7C1trmcQQ5n5RNy4l6ziCv
179,FREUNDE,ELIF,69580,https://open.spotify.com/track/47bCh8UV3ucItEDkQVP4fT
180,"Viva la Dealer",SDP,69517,https://open.spotify.com/track/2vuFdbSOLje3khV4rLSEpm
181,"Cruel Intentions",Delacey,69411,https://open.spotify.com/track/7E91ECLi2J4L21tEX0RBHn
182,Schachmatt,"Yung Kafa & Kücük Efendi",69382,https://open.spotify.com/track/1hGqUya0PwoXRkSTCk0XS5
183,"Thank You [Not So Bad]",VIZE,68845,https://open.spotify.com/track/4AqN8IdKCfItCSbuaFch81
184,Suicidal,"YNW Melly",68576,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
185,"In My Mind",Dynoro,68559,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
186,"Kein Plan",Loredana,68126,https://open.spotify.com/track/2d3WpbJFBND2vwMJyULdfU
187,"Diamonds (feat. Capital Bra)","Summer Cem",68003,https://open.spotify.com/track/2nPJnablplDgVVgSDF9BAs
188,"Higher Love",Kygo,67681,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
189,Boyfriend,Mabel,67497,https://open.spotify.com/track/0B2su5lNZe9t3VjOkwtDLV
190,Hollywoodsmile,Ali471,67163,https://open.spotify.com/track/328ceodNB76W6WdlpV3a7W
191,"Eine Minute","Fynn Kliemann",66931,https://open.spotify.com/track/3Tvl4fK2SEGBPF8zYVBqyP
192,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",KitschKrieg,66922,https://open.spotify.com/track/4Nip6oiJU24LqcUEi7u19S
193,"Rescue Me",OneRepublic,66800,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
194,Genick,Loredana,66758,https://open.spotify.com/track/1AGjF8pckOxTGeb5zubyqH
195,"All Around The World (La La La)",R3HAB,66703,https://open.spotify.com/track/02itaCXOdC54J0ISjqqFAp
196,Prinzessa,"Capital Bra",66695,https://open.spotify.com/track/0Tq0EhQpVeQJwV3E3P5Jti
197,"Live Off My Closet (feat. Future)","Lil Baby",66524,https://open.spotify.com/track/6AyWdCtEn1DdxjnxPeojR2
198,"WHATS POPPIN","Jack Harlow",66288,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
199,"cOcO MAmA",Dardan,66209,https://open.spotify.com/track/3rn5zo49rHQdIR4G8wvXNb
200,"Mit Dir",Loredana,66168,https://open.spotify.com/track/26FNTVsgF4m31xvDgFfhGW
